Datetime,Filename,Working case,X,Y,Angle,Note
2023-02-19 19:36:15.505168,lmTst_0_-12_-12_0,0,12,11,0,lmTst_0_-12_-12_0.jpg recovered
2023-02-19 19:36:16.556565,lmTst_0_-12_-15_0,0,12,14,0,lmTst_0_-12_-15_0.jpg recovered
2023-02-19 19:36:17.678920,lmTst_0_-12_-3_0,0,12,0,0,lmTst_0_-12_-3_0.jpg recovered
2023-02-19 19:36:19.637793,lmTst_0_-12_-6_0,0,12,5,0,lmTst_0_-12_-6_0.jpg recovered
2023-02-19 19:36:21.009005,lmTst_0_-12_-9_0,0,12,8,0,lmTst_0_-12_-9_0.jpg recovered
2023-02-19 19:36:22.293280,lmTst_0_-12_0_0,0,12,0,0,lmTst_0_-12_0_0.jpg recovered
2023-02-19 19:36:23.228739,lmTst_0_-12_12_0,0,12,-13,0,lmTst_0_-12_12_0.jpg recovered
2023-02-19 19:36:24.084241,lmTst_0_-12_3_0,0,12,-4,0,lmTst_0_-12_3_0.jpg recovered
2023-02-19 19:36:24.922757,lmTst_0_-12_6_0,0,12,-7,0,lmTst_0_-12_6_0.jpg recovered
2023-02-19 19:36:25.931180,lmTst_0_-12_9_0,0,12,-10,0,lmTst_0_-12_9_0.jpg recovered
2023-02-19 19:36:26.800678,lmTst_0_-15_-12_0,0,15,11,0,lmTst_0_-15_-12_0.jpg recovered
2023-02-19 19:36:27.764124,lmTst_0_-15_-15_0,0,15,14,0,lmTst_0_-15_-15_0.jpg recovered
2023-02-19 19:36:28.686594,lmTst_0_-15_-3_0,0,15,0,0,lmTst_0_-15_-3_0.jpg recovered
2023-02-19 19:36:29.675025,lmTst_0_-15_-6_0,0,15,5,0,lmTst_0_-15_-6_0.jpg recovered
2023-02-19 19:36:30.655465,lmTst_0_-15_-9_0,0,15,8,0,lmTst_0_-15_-9_0.jpg recovered
2023-02-19 19:36:31.515967,lmTst_0_-15_0_0,0,15,0,0,lmTst_0_-15_0_0.jpg recovered
2023-02-19 19:36:32.372476,lmTst_0_-15_12_0,0,15,-13,0,lmTst_0_-15_12_0.jpg recovered
