Datetime,Filename,Working case,X,Y,Angle,Note
2023-01-06 16:13:28.860532,lmTst_0,0,0,0,0,lmTst_0.jpg recovered
2023-01-06 16:13:29.397225,lmTst_1,2,0,0,0,lmTst_1.jpg recovered
2023-01-06 16:13:29.976890,lmTst_2,0,0,0,0,lmTst_2.jpg recovered
2023-01-06 16:13:30.555557,lmTst_3,2,0,0,0,lmTst_3.jpg recovered
2023-01-06 16:13:31.134224,lmTst_4,2,0,0,0,lmTst_4.jpg recovered
2023-01-06 16:13:31.678913,lmTst_5,2,0,0,0,lmTst_5.jpg recovered
2023-01-06 16:13:32.237589,lmTst_6,2,0,0,0,lmTst_6.jpg recovered
2023-01-06 16:13:32.809260,lmTst_7,0,0,0,0,lmTst_7.jpg recovered
2023-01-06 16:13:33.380933,lmTst_8,0,0,0,0,lmTst_8.jpg recovered
2023-01-06 16:13:33.947605,lmTst_9,2,0,0,0,lmTst_9.jpg recovered
