Datetime,Filename,Working case,X,Y,Angle,Note
2023-02-19 19:43:20.844648,lmTst_0,0,-294,-158,-38,lmTst_0.jpg recovered
2023-02-19 19:43:21.734137,lmTst_1,2,0,0,0,lmTst_1.jpg recovered
2023-02-19 19:43:22.854492,lmTst_2,0,-294,-158,-38,lmTst_2.jpg recovered
2023-02-19 19:43:23.930874,lmTst_3,2,0,0,0,lmTst_3.jpg recovered
2023-02-19 19:43:24.858343,lmTst_4,2,0,0,0,lmTst_4.jpg recovered
2023-02-19 19:43:25.807795,lmTst_5,2,0,0,0,lmTst_5.jpg recovered
2023-02-19 19:43:26.613333,lmTst_6,2,0,0,0,lmTst_6.jpg recovered
2023-02-19 19:43:27.384889,lmTst_7,0,-294,-159,-38,lmTst_7.jpg recovered
2023-02-19 19:43:28.249392,lmTst_8,0,-294,-159,-38,lmTst_8.jpg recovered
2023-02-19 19:43:29.089909,lmTst_9,2,0,0,0,lmTst_9.jpg recovered
