Datetime,Filename,Working case,X,Y,Angle,Note
2023-01-09 15:18:58.706867,lmTst_0,0,-294,-158,-39,lmTst_0.jpg recovered
2023-01-09 15:18:59.251377,lmTst_1,2,0,0,0,lmTst_1.jpg recovered
2023-01-09 15:18:59.841038,lmTst_2,0,-294,-158,-39,lmTst_2.jpg recovered
2023-01-09 15:19:00.687554,lmTst_3,2,0,0,0,lmTst_3.jpg recovered
2023-01-09 15:19:01.231234,lmTst_4,2,0,0,0,lmTst_4.jpg recovered
2023-01-09 15:19:01.867871,lmTst_5,2,0,0,0,lmTst_5.jpg recovered
2023-01-09 15:19:02.467525,lmTst_6,2,0,0,0,lmTst_6.jpg recovered
2023-01-09 15:19:03.003220,lmTst_7,0,-294,-159,-39,lmTst_7.jpg recovered
2023-01-09 15:19:03.568895,lmTst_8,0,-294,-159,-39,lmTst_8.jpg recovered
2023-01-09 15:19:04.185541,lmTst_9,2,0,0,0,lmTst_9.jpg recovered
